,words
4,港 霜 迅 筆 州 尽 堂 退 維 葬 刃 兄 帝 戒 比 霊 逸 沸 豚 兎 冶 桜 掩 闘 雑 舎 忠 路 昼 顕 衆 歯 窮 愚 窓 胃 接 辛 列 致 慣 族 乞 避 午 六 承 博 騎 鼓 邪 塞 材 堅 率 減 踏 侵 備 鼻 途 沐 励 末 仮 洗 暮 批 僕 園 互 焼 戚 須 界 獄 李 弟 胆 鍛 乾 誉 膝 弁 婚 幾 混 貸 姉 歩 詳 環 超 貝 盛 科 桑 頃 嫌 栽 斗 棄 差 介 閉 悠 執 児 滞 舞 希 康 杯 雅 還 測 映 芸 痛 療 糖 択 懸 慢 栄 沙 換 凍 査 乳 革 把 匿 針 菜 律 警 普 季 概 庫 攻 億 覧 弱 庁 兆 館 毒 丈 黒 聖 雀 靴 預 剛 札 盤 拠 繰 講 紛 簡 述 捗 航 皇 冬 復 券 鶴 低 翻 紀 右 紹 陣 塗 麦 奏 掲 打 冊 悩 徒 亭 浦 溝 浅 潟 徐 岐 展 描 是 永 紋 抜 寝 貫 渉 招 鳴 側 抱 訪 旧 漠 怠 縮 徹 叫 籠 憎 蟹 圧 菓 奇 順 漢 池 継 礎 勧 怪 隣 甚 揚 寂 誌 覚 奉 俊 隔 寡 看 増 吠 穂 勃 机 阻 臭 凡 悟 氷 贈 拶 罷 泳 桃 麻 焦 籍 婦 跡 染 痕 苛 封 専 嘩 威 聴 嘱 侯 茄 逐 稲 糸 築 頻 雪 湿 幌 挫 闇 爪 淫 膳 倹 標 遣 油 狼 陶 侮 拾 罰 就 癖 敏 狐 蕎 挨 釈 職 版 壮 崩 喩 蜜 犯 迎 亡 溶 響 句 眉 矯 賄 姓 底 据 愁 侍 哺 埼 泌 廻 裏 迦 惑 吟 粗 筋 晦 瓜 厚 肩 蒙 喧 灰 葱 儒 洋 畏 匂 枕 按 洞 糾 糊 届 喚 拳 熱 煮 胎 僧 翼 巧 牙 渇 魂 柿 班 遍 腺 弄 煩 薪 弘 激 俗 惚 斧 挿 税 臓 購 桟 茸 彦 爛 驚 球 且 庭 慨 逝 潜 帳 忙 芋 牲 錬 塾 疎 祉 貌 謝 召 岳 櫓 汗 炉 佳 輩 較 盲 暑 胸 翁 殆 蚊 庸 仇 忌 監 痘 媒 擦 峡 唾 叙 投 曖 虞 補 墳 宵 怨 昧 刺 凹 枷 究 辞 欧 陸 抹 羽
40,三 供
41,提 式 株
42,知
43,成
45,上 時
46,定 行
48,月
49,事 年
5,疑 氏 岸 課 令 老 振 除 住 座 両 械 及 妻 布 竜 絡 感 貨 消 飯 歌 蓋 寸 粉 策 森 殺 溺 談 匠 声 替 那 禁 推 泉 被 送 程 評 灯 敗 剣 裁 樹 観 蛇 探 登 精 境 屈 眼 装 依 猛 症 雷 絶 患 試 浄 甲 缶 困 痴 極 銭 矩 挙 枝 奔 閑 林 隙 複 険 匹 傾 牧 初 郎 研 謹 孤 賤 担 礼 譲 祭 施 熊 乏 群 練 医 助 誤 升 優 喪 也 暖 益 潰 弾 哀 毎 堪 印 根 申 賠 縁 軽 授 矢 鼠 煙 労 償 選 稼 頑 告 模 廃 賀 放 触 夕 狗 柳 危 伝 答 昭 逆 宝 鹿 衛 塚 落 倉 駅 丸 夢 網 額 修 押 背 政 綿 欠 疲 域 導 泰 察 羅 仙 催 左 唱 呼 宇 朋 販 荷 隠 節 盟 常 坂 壁 息 民 干 建 黄 堤 資 勉 採 旨 戻 葵 総 却 到 奪 寧 色 散 歳 餅 慮 尋 索 魔 遺 亦 忍 豊 寺 像 股 夷 濫 浮 黙 唯 斯 既 削 扇 系 占 枯 矛 線 瑠 朽 萎 巾 鐘 肉 顧 岩 速 璃 尼 憂 詩 暴 砲 惜
51,目 学
54,山
55,私
56,合 生
566,一
58,田
59,利
6,々 猫 健 怖 扱 離 久 髪 図 横 香 競 魚 強 託 吉 好 派 料 浜 未 臣 角 履 腹 紙 太 値 析 寒 降 判 冷 烏 倒 配 遠 構 鶏 再 孔 駆 童 返 録 緒 恥 器 恵 駄 否 領 積 興 卵 橋 宿 陰 首 具 室 単 羊 企 音 治 郡 捕 懐 船 効 遂 堕 置 禍 与 幽 命 璧 満 昨 完 験 拙 商 静 台 素 締 幸 客 込 般 佐 量 統 九 鉄 促 毛 阿 視 費 例 態 衣 突 働 整 伊 席 王 刊 血 赤 師 待 固 官 寄 酒 銀 府 漏 請 清 頼 駿 半 志 旅 撃 乗 誠 伯 束 怒 四
61,会
65,社
66,本
7,去 七 独 蟻 米 処 想 鳥 着 早 更 蔵 草 顔 由 急 異 広 経 委 注 笑 掛 討 役 望 校 交 存 雲 防 予 肝 営 了 貴 骨 墨 敵 英 然 損 格 捨 功 沈 罪 八 至 武 載 協 留 奈 阪 最 諾 指 耳 尺 残 院 養 張 河 春 団 徳 議 往 照 反 況 転 各 夏 元 冠 秋 因 渡 苦 鞭 越 災 位 断 孝 造 割 居 青
70,中
73,子
75,者
78,彼
8,製 失 舟 著 盗 従 兵 光 誰 似 編 主 夜 起 江 細 仲 士 短 許 世 味 宮 飲 休 員 争 飛 買 向 曜 組 始 属 沢 折 戸 週 害 質 聞 穴 鷹 破 枚 戦 城 軍 影 若 論 故 適 郵 瀬 央 深 虫 準 係 覆 友 津 続 識 読 公 状 勝 改 払 賊 教 刀 走 恩 泣 近 陽
80,日
81,大
82,用
85,町
9,類 安 己 期 使 空 容 里 止 君 現 形 在 乱 鬼 活 護 計 父 朝 秘 含 楽 我 箱 追 囲 暇 局 参 示 案 応 電 字 便 守 語 忘 階 文 仕 創 達 納 表 進 移 終 門 調 遅 種
94,人
